timestep,state,action,next_state,reward,done,number_of_pods,cpu_util,latency_violation,latency,hpa_threshold,info
49,108,1,108,100,False,1,14.16680849961041,0,0.1574923608102512,80,
50,108,0,431,33.956961169432205,False,3,43.563813708092106,0,0.24854655858576055,60,
51,431,0,228,89.94435623964938,False,4,33.66703643999433,0,0.20099701239418152,40,
52,228,0,3,100,False,1,13.897409529876114,0,0.15365989394067472,20,
53,3,0,3,100,False,1,13.7070746306901,0,0.16985458099958584,20,
54,3,2,228,44.76375828496329,False,4,31.128818508393486,0,0.2360401515185302,40,
55,228,1,228,50.05304652555719,False,4,33.365090763960275,0,0.23251021386281617,40,
56,228,1,38,100,False,1,14.50309767002342,0,0.16513730894248907,40,
57,38,2,73,100,False,1,14.253796474956513,0,0.16074467412972132,60,
58,73,2,642,0,False,2,62.51477794879009,1,0.2889953034019084,80,
59,642,1,643,0,False,2,67.62717240728658,1,0.4366138135512169,80,
60,643,2,143,100,False,1,14.395348104386962,0,0.17284617435610566,100,
61,143,0,108,100,False,1,13.865586692021159,0,0.1642989299384434,80,
62,108,1,643,0,False,2,63.88479487159378,1,0.44260180143867806,80,
63,643,0,431,93.3332738170777,False,3,44.59288587707323,0,0.19981178109101805,60,
64,431,2,108,100,False,1,14.723035503619519,0,0.16521014536782155,80,
65,108,2,143,100,False,1,13.577399406132232,0,0.16942566722876237,100,
66,143,1,846,0,False,1,93.54991289238272,1,2.334553752972699,100,
67,846,2,846,0,False,1,88.28351653153041,1,2.396690299704392,100,
68,846,1,143,100,False,1,14.226242365522074,0,0.17716338240362345,100,
69,143,0,108,100,False,1,14.738011461707064,0,0.1502579934574288,80,
70,108,0,432,0,False,3,46.67695163207198,1,0.259856381679479,60,
71,432,0,228,41.64895203217351,False,4,33.57095076712887,0,0.23830042744136248,40,
72,228,1,38,100,False,1,14.544641973878711,0,0.1628610739753447,40,
73,38,0,3,100,False,1,14.728781282315989,0,0.15692072159535214,20,
74,3,2,228,41.15933640666133,False,4,34.42786164213095,0,0.23867192127847434,40,
75,228,0,24,79.90812865618511,False,7,18.93956560018554,0,0.19260261931866074,20,
